Year,Month,Region,Resource,Rate
2022,1,Trivandrum,Blacksmith 1st class,1250.0
2022,1,Trivandrum,Blacksmith 2nd class,950.0
2022,1,Trivandrum,Carpender Ist Class,1200.0
2022,1,Trivandrum,Carpenter 2nd class,1000.0
2022,1,Trivandrum,Chowkidar,1000.0
2022,1,Trivandrum,Beldar,860.0
2022,1,Trivandrum,Coolie,860.0
2022,1,Trivandrum,Fitter(grade1),1100.0
2022,1,Trivandrum,Assistant Fitter or 2nd class fitter,920.0
2022,1,Trivandrum,Glazier,1075.0
2022,1,Trivandrum,Mason(for plaster of paris work) Ist class,1250.0
2022,1,Trivandrum,Mason (brick layer) Ist class,1175.0
2022,1,Trivandrum,Mason (brick layer )2nd class,1000.0
2022,1,Trivandrum,Mason (for plain stone work) 2nd class,935.0
2022,1,Trivandrum,Mason (for Ornamental stone work) Ist class,1420.0
2022,1,Trivandrum,"Driver (for Road Roller, Concrete Mixer, Truck etc)",1150.0
2022,1,Trivandrum,Mate,860.0
2022,1,Trivandrum,Sewer Man,1400.0
2022,1,Trivandrum,Mistry,1050.0
2022,1,Trivandrum,Painter,950.0
2022,1,Trivandrum,Rock Excavator,1050.0
2022,1,Trivandrum,Rock Breaker,1050.0
2022,1,Trivandrum,Rock Hole Driller,1250.0
2022,1,Trivandrum,Stone Chiseller,1000.0
2022,1,Trivandrum,"Sprayer (for bitumen, tar etc)",950.0
2022,1,Trivandrum,Skilled Beldar (for floor rubbing etc.),975.0
2022,1,Trivandrum,White Washer,800.0
2022,1,Trivandrum,Nozzel man/ gun man,1000.0
2022,1,Trivandrum,Mason (average),1050.0
2022,1,Trivandrum,Carpenter (average),1200.0
2022,1,Trivandrum,Operator (Pile/Special machine),1100.0
2022,1,Trivandrum,Skilled torch operator for laying tack,950.0
2022,1,Trivandrum,Technician,1150.0
2022,1,Trivandrum,Helper (Technician),875.0
2022,1,Trivandrum,"Labour for fabrication of uPVC extruded casement/sliding windows and doors including drilling holes, fixing of fittings & hardwares, hire charges of drill machine and electricity charges etc.",875.0
2022,1,Trivandrum,Labour for installation of uPVC extruded casement/ sliding windows and doors including scaffolding,900.0
2022,1,Trivandrum,Security guard without gun (8 hours shift duty per day),900.0
2022,1,Trivandrum,Security guard with gun (8 hours shift duty per day),950.0
2022,1,Trivandrum,Mali (semi- Skilled),800.0
2022,1,Trivandrum,Seam bolts and nuts 6 mm dia and 25 mm long,51.0
2022,1,Trivandrum,Fibre (high impact poly propelene reinforced) cement corrugated sheet 6 mm thick,318.0
2022,1,Trivandrum,Fibre (high impact poly propelene reinforced) cement close fitting adjustable ridge,284.75
2022,1,Trivandrum,Fibre (high impact poly propelene reinforced) cement corrugate serrated adjustable ridge,284.75
2022,1,Trivandrum,Fibre (high impact poly propelene reinforced) cement plain wing adjustable ridge,284.75
2022,1,Trivandrum,Fibre (high impact poly propelene reinforced) cement unserrated adjustable ridge for hips,284.75
2022,1,Trivandrum,Fibre (high impact poly propelene reinforced) cement corrugated apron piece,288.0
2022,1,Trivandrum,Fibre (high impact poly propelene reinforced) cement eaves filler piece,237.3
2022,1,Trivandrum,Fibre (high impact poly propelene reinforced) cement north light curves,394.0
2022,1,Trivandrum,Non-Asbestos fibre (high impact poly propelene reinforced) cement ventilator curves,521.0
2022,1,Trivandrum,Fibre (high impact poly propelene reinforced) cement barge boards 6 mm thick,542.35
2022,1,Trivandrum,Fibre (high impact poly propelene reinforced) cement ridge finial,223.75
2022,1,Trivandrum,Fibre (high impact poly propelene reinforced) cement special north light curves,699.0
2022,1,Trivandrum,Fibre (high impact poly propelene reinforced) cement S type louvers,352.5
2022,1,Trivandrum,Multi purpose fibre (high impact poly propelene reinforced) cement board 6 mm thick,290.0
2022,1,Trivandrum,Multi purpose fibre (high impact poly propelene reinforced) cement 8 mm thick,318.0
2022,1,Trivandrum,6 mm thick heavy duty fiber cement board,564.0
2022,1,Trivandrum,8 mm thick heavy duty fiber cement board,411.0
2022,1,Trivandrum,9 mm thick heavy duty fiber cement board,843.0
2022,1,Trivandrum,12.5 mm thick Gypsum plaster board,220.0
2022,1,Trivandrum,6 mm thick multipurpose cement bonded wood particle board conforming to IS : 14276,263.0
2022,1,Trivandrum,8 mm thick multipurpose cement bonded wood particle board conforming to IS : 14276,300.0
2022,1,Trivandrum,"Factory made light weight composite non asbestos fibre reinforced
aerated cement sandwitched wall/roof panel (50mm thick). The outer
face on both sides of the panels will be non asbestos fibre cement
board (minimum 4mm thick) confirming to IS 14862:2000",859.64
2022,1,Trivandrum,Factory made light weight non asbestos fibre reinforced aeratedcement sandwitched wall/roof panel (75mm thick). The outer face onboth sides of the panels will be non asbestos fibre cement board(minimum 5mm thick) confirming to IS 14862:2000,1069.0
2022,1,Trivandrum,2mm thick sim pad,14.0
2022,1,Trivandrum,5mm thick sim pad,21.0
2022,1,Trivandrum,10mm thick sim pad,34.0
2022,1,Trivandrum,Brick Aggregate (single size):63 mm nominal size,880.0
2022,1,Trivandrum,Brick Aggregate (single size):50 mm nominal size,880.0
2022,1,Trivandrum,Brick Aggregate (single size):40 mm nominal size,880.0
2022,1,Trivandrum,Stone Aggregate(single size):63 mm nominal size,2100.0
2022,1,Trivandrum,Stone Aggregate(single size):50 mm nominal size,2150.0
2022,1,Trivandrum,Stone Aggregate(single size): 40 mm nominal size,2300.0
2022,1,Trivandrum,Stone Aggregate(single size):25 mm nominal size,2600.0
2022,1,Trivandrum,Stone Aggregate(single size):20 mm nominal size,2650.0
